New York,NY,40.6643 N,73.9385 W,62.3,55.15,48,46.23,-,121,2677
Los Angeles,CA,34.0194 N,118.4108 W,71.7,63.8,55.9,18.67,-,-,3348
Chicago,IL,41.8376 N,87.6818 W,59.3,51.3,43.3,39.04,-,119,2504
Houston,TX,29.7805 N,95.3863 W,78.3,69.05,59.8,45.28,-,106,2633
Philadelphia,PA,40.0094 N,75.1333 W,64.7,55.85,47,41.45,23,-,2613
Phoenix,AZ,33.5722 N,112.0880 W,86.7,75.05,63.4,8.04,-,36,3832
San Antonio,TX,29.4724 N,98.5251 W,79.8,68.7,57.6,32.91,-,-,2877
San Diego,CA,32.8153 N,117.1350 W,69.8,63.65,57.5,10.4,-,43,2958
Dallas,TX,32.7757 N,96.7967 W,77.1,64.3,51.5,40.97,-,-,2910
San Jose,CA,37.2969 N,121.8193 W,72.6,61.55,50.5,15.09,-,-,3708
Austin,TX,30.3072 N,97.7560 W,79.8,69.4,59,34.25,-,-,-
Jacksonville,FL,30.3370 N,81.6613 W,79.9,67.9,55.9,-,-,-,2640
San Francisco,CA,37.7751 N,122.4193 W,63.8,57.3,50.8,23.64,-,68,2950
Indianapolis,IN,39.7767 N,86.1459 W,62.4,53.1,43.8,52.2,-,125,2439
Columbus,OH,39.9848 N,82.9850 W,62.5,52.9,43.3,56.11,-,133,2507
Fort Worth,TX,32.7795 N,97.3463 W,76.7,65.25,53.8,-,-,-,-
Charlotte,NC,35.2087 N,80.8307 W,70.8,59.8,48.8,41.63,4,-,-
Seattle,WA,47.6205 N,122.3509 W,60.3,52.64,45,37.13,-,147,2163
Denver,CO,39.7618 N,104.8806 W,65,50.7,36.4,14.16,-,-,3115
El Paso,TX,31.8484 N,106.4270 W,77.5,64.65,51.8,9.69,7,-,3715
Detroit,MI,42.3830 N,83.1022 W,56.7,48.7,40.7,30.97,-,133,2375
Washington,DC,38.9041 N,77.0171 W,64.8,55.7,46.6,40.78,-,115,1783
Boston,MA,42.3320 N,71.0202 W,58.7,51.4,44.1,43.56,-,120,2633
Memphis,TN,35.1035 N,89.9785 W,72.4,53.6,63,53.67,3,-,2857
Nashville,TN,36.1718 N,86.7850 W,69.7,59.25,48.8,47.24,7,119,2634
Portland,OR,45.5370 N,122.6500 W,63.3,54.5,45.7,35.98,4,-,1953
Oklahoma City,OK,35.4671 N,97.5137 W,72.2,61.5,50.8,8,-,-,3026
Las Vegas,NV,36.2277 N,115.2640 W,80.,69.3,58.6,4.17,-,21,3817
Baltimore,MD,39.3002 N,76.6105 W,66.3,58.45,50.6,40.72,-,111,2579
Louisville,KY,38.1781 N,85.6667 W,67.8,58.2,48.6,44.89,13,-,2577
Milwaukee,WI,43.0633 N,87.9667 W,55.4,47.75,40.1,34.49,-,121,-
Albuquerque,NM,35.1056 N,106.6474 W,68.8,57.1,45.4,9.39,10,-,3460
Tucson,AZ,32.1543 N,110.8711 W,83.7,70.9,58.1,11.92,-,-,3852
Fresno,CA,36.7827 N,119.7945 W,76.9,64.1,51.3,12.83,-,-,3708
Sacramento,CA,38.5666 N,121.4686 W,73.6,60.95,48.3,18.51,-,-,3470
Kansas City,MO,39.1252 N,94.5511 W,66,56.7,47.4,39.06,12,-,2839
Long Beach,CA,33.8091 N,118.1553 W,74.2,64.8,55.4,12.25,-,-,-
Mesa,AZ,33.4019 N,111.7174 W,86.4,71.95,57.5,9.29,-,-,-
Atlanta,GA,33.7629 N,84.4227 W,71.9,62.55,53.2,49.74,-,-,-
Colorado Springs,CO,38.8673 N,104.7607 W,62.1,48.95,35.8,16.56,39,-,-
Virginia Beach,VA,36.7793 N,76.0240 W,68.9,60.6,52.3,-,-,-,-
Raleigh,NC,35.8302 N,78.6414 W,71.3,60.8,50.3,46.58,-,-,-
Omaha,NE,41.2647 N,96.0419 W,61.5,50.65,39.8,30.25,-,98,2724
Miami,FL,25.7752 N,80.2086 W,84.2,77.05,69.9,61.93,-,128,2903
Oakland,CA,37.7699 N,122.2256 W,67,59.2,51.4,23.99,-,-,-
Minneapolis,MN,44.9633 N,93.2683 W,55.1,46.15,37.2,30.64,55,112,2607
Tulsa,OK,36.1279 N,95.9023 W,71.2,60.7,50.2,40.91,10,-,-
Wichita,KS,37.6907 N,97.3427 W,67.6,56.65,45.7,34.33,-,-,-
New Orleans,LA,30.0686 N,89.9390 W,78,69.55,61.61,62.45,-,108,2644
Arlington,TX,32.7007 N,97.1247 W,77.1,66.1,55.1,38.36,-,-,-
